ra_1	dec_1	cz	ecz	u	g	r	i	zm	mur	mem	dist	gl	gb	foo	rf	gr	rp
194.54042	27.54943	006975	003	18.805	17.108	16.343	15.990	15.668		1	00.585	49.06881	88.44856				
194.54862	27.54249	007119	020	19.621	18.537	17.632	17.367	16.889		1	00.585	48.75156	88.44337				
194.89864	28.55137	007584	002	17.456	15.777	15.016	14.645	14.382		1	00.589	71.68656	87.70300				
194.65758	27.46400	006268	003	19.173	16.320	15.691	15.620	15.704		1	00.590	45.20974	88.36725				
194.34058	27.88043	007437	002	17.536	16.089	15.452	15.142	14.897		1	00.590	63.06635	88.48623				
194.40114	28.23340	006820	019	18.635	17.538	16.922	16.580	16.661		1	00.591	72.27827	88.24357				
194.80711	27.40257	005654	002	16.987	15.140	14.357	13.958	13.695		1	00.592	42.38102	88.24719				
195.20802	27.40579	006590	002	16.207	14.722	14.040	13.681	13.387		1	00.593	41.04186	87.89409				
194.37497	28.18807	006933	002	16.825	14.858	14.091	13.667	13.401		1	00.594	71.57430	88.28976				
195.59025	28.25598	006811	002	17.032	15.506	14.703	14.311	14.054		1	00.594	58.56607	87.33208				
194.36846	28.17643	008169	002	17.451	15.557	14.755	14.321	14.095		1	00.595	71.38362	88.30143				
195.66019	28.11458	007460	003	17.823	15.641	14.782	14.379	14.130		1	00.600	55.25350	87.32975				
194.63362	27.45634	007021	002	17.857	15.896	15.122	14.758	14.600		1	00.607	45.09289	88.38960				
195.68499	28.04535	006224	002	16.672	14.532	13.762	13.382	13.222		1	00.609	53.69571	87.33317				
195.53905	27.58937	006455	006	19.167	17.793	17.126	16.846	16.693		1	00.609	44.51148	87.57595				
195.09460	28.57449	006471	009	18.362	17.073	16.334	16.145	15.935		1	00.611	69.64752	87.55122				
195.31232	28.52176	008434	001	18.472	17.462	17.104	16.969	16.967		1	00.617	66.21641	87.42185				
194.32420	27.81093	007144	002	17.419	15.979	15.441	15.183	15.048		1	00.618	60.98160	88.53204				
194.36727	27.70078	006460	006	19.383	17.581	16.891	16.529	16.381		1	00.621	56.43664	88.54425				
195.27580	27.39783	008113	004	18.056	16.573	15.905	15.571	15.326		1	00.621	40.63804	87.83529				
194.70392	28.54001	006286	011	19.412	17.875	17.158	16.869	16.939		1	00.628	74.23743	87.84290				
195.53609	28.38712	007574	003	16.653	14.969	14.160	13.741	13.451		1	00.630	61.54040	87.31777				
195.01830	28.60350	006818	005	17.344	16.096	15.381	15.053	14.821		1	00.634	71.13622	87.58790				
194.32606	27.74736	006858	018	18.554	17.285	16.755	16.427	16.173		1	00.636	58.70660	88.55867				
194.30294	28.13366	006968	025	19.324	18.303	17.592	17.346	17.137		1	00.637	71.43891	88.37329				
194.90561	27.33604	006972	005	18.590	17.016	16.328	16.000	15.760		1	00.639	39.91501	88.16886				
194.43014	27.57760	007227	003	18.507	17.023	16.298	15.951	15.733		1	00.639	51.14557	88.53438				
195.71974	27.86659	008210	002	16.898	15.085	14.301	13.931	13.677		1	00.644	49.81468	87.35769				
194.50651	27.48967	007624	002	16.736	15.235	14.523	14.188	13.995		1	00.649	47.18111	88.49259				
194.38682	27.61035	006034	002	16.246	14.414	13.586	13.168	12.909		1	00.651	52.84877	88.56051				
194.31378	27.72984	005762	020	19.068	18.167	17.481	17.236	17.459		1	00.653	58.25375	88.57590				
