#ra_1	dec_1	cz	ecz	zsource	ra_2	dec_2	u	g	r	i	zm	mur	gr	r50	rp	rf
#----	-----	--	---	-------	----	-----	-	-	-	-	--	---	--	---	--	--
259.884054	26.477839	0.176117	6.4378e-05	MMT/Hectospec	259.884055	26.477838	21.247	20.353	19.650	19.330	19.218	022.614	00.750	01.460	19.797	20.618
259.884108	26.512850	0.194251	0.000132425	MMT/Hectospec	259.884105	26.512850	21.090	20.138	19.281	18.884	18.653	022.221	00.904	01.392	19.508	20.281
259.884550	26.717001	0.164934	0.000581637	Keck/DEIMOS	259.884566	26.716988	26.295	22.692	21.559	21.300	21.071	024.232	01.182	00.923	22.411	22.937
259.885083	26.666944	0.156086	9.19971e-05	MMT/Hectospec	259.885069	26.666944	20.909	19.067	18.163	17.735	17.235	021.197	00.952	01.515	18.300	19.167
259.885137	26.673817	0.165721	0.000134894	MMT/Hectospec	259.885150	26.673817	21.181	19.130	18.272	17.901	17.629	020.768	00.906	01.152	18.466	19.205
259.885225	26.714441	0.504271	5.31702e-05	MMT/Hectospec	259.885211	26.714442	26.198	21.432	19.680	18.797	18.262	022.430	01.801	01.261	19.931	20.742
259.885513	26.605986	0.251924	9.40652e-05	MMT/Hectospec	259.885507	26.605985	21.801	21.197	20.449	20.258	20.410	022.927	00.797	01.106	20.713	21.261
259.886512	26.592762	0.316343	5.24697e-05	MMT/Hectospec	259.886525	26.592760	25.864	21.739	20.139	19.551	19.078	022.376	01.648	01.021	20.336	20.819
259.886712	26.624264	0.0721164	6.33773e-05	MMT/Hectospec	259.886711	26.624264	20.112	18.777	18.124	17.755	17.516	021.790	00.701	01.996	18.294	19.597
259.886912	26.511475	0.327458	0.000162246	MMT/Hectospec	259.886920	26.511474	21.272	20.999	20.170	19.905	19.666	022.748	00.876	01.191	20.373	20.964
259.888087	26.859791	0.319202	0.000208378	MMT/Hectospec	259.888088	26.859791	24.136	21.521	19.966	19.379	18.959	022.445	01.609	01.142	20.162	20.897
259.888700	26.723333	0.178833	0.000190432	Keck/DEIMOS	259.888704	26.723352	22.987	22.063	21.563	21.289	20.388	023.781	00.549	00.969	21.854	22.200
259.890010	26.530277	0.316884	0.00014867	Keck/DEIMOS	259.889983	26.530351	22.670	22.108	21.191	21.092	20.517	024.039	00.964	01.379	21.346	22.093
259.890263	26.723265	0.164596	7.51187e-05	MMT/Hectospec	259.890254	26.723265	21.383	19.458	18.349	17.928	17.525	020.763	01.158	01.110	18.541	19.259
259.890608	26.891197	0.320173	0.000179458	SDSS	259.890608	26.891197	22.848	20.529	18.757	18.181	17.779	021.708	01.829	01.362	19.042	19.913
259.891462	26.578649	0.315301	0.000136428	MMT/Hectospec	259.891471	26.578650	25.245	21.968	20.330	19.677	19.346	022.789	01.686	01.226	20.352	20.909
259.891692	26.571039	0.160465	8.71271e-05	MMT/Hectospec	259.891699	26.571038	21.547	19.699	18.580	18.129	17.828	021.150	01.167	01.209	18.743	19.390
259.893667	26.506797	0.523272	7.8788e-05	MMT/Hectospec	259.893674	26.506799	25.052	22.653	20.568	19.730	19.287	023.402	02.131	01.362	20.736	21.484
259.893921	26.622360	0.156848	0.000117515	MMT/Hectospec	259.893932	26.622360	21.005	19.368	18.074	17.626	17.293	020.580	01.342	01.147	18.287	19.029
259.894179	26.413248	0.174321	0.000107475	MMT/Hectospec	259.894165	26.413246	22.269	20.026	18.859	18.401	18.029	021.333	01.217	01.164	19.008	19.636
259.895080	26.507223	0.522766	0.000247438	Keck/DEIMOS	259.895063	26.507359	21.932	21.593	20.741	20.266	19.893	023.173	00.899	01.133	20.907	21.435
259.895525	26.586685	0.160992	7.25503e-05	MMT/Hectospec	259.895523	26.586687	21.970	20.540	19.505	19.071	18.771	021.703	01.083	01.020	19.665	20.145
259.896554	26.874220	0.318105	0.00011101	MMT/Hectospec	259.896548	26.874220	24.752	21.544	19.901	19.295	18.931	021.781	01.698	00.874	20.078	20.615
259.896640	26.551777	0.327591	0.000320389	Keck/DEIMOS	259.896632	26.551776	23.509	22.432	21.678	21.439	20.839	023.962	00.802	01.004	21.958	22.383
259.897550	26.561388	0.315015	0.000218552	Keck/DEIMOS	259.897558	26.561443	22.874	22.910	21.746	21.168	20.921	023.495	01.212	00.810	21.958	22.235
259.897670	26.545277	0.318534	0.000102738	Keck/DEIMOS	259.897655	26.545367	22.546	22.337	21.493	21.591	21.670	023.503	00.891	00.828	21.918	22.102
259.898671	26.847906	0.194855	0.000123252	MMT/Hectospec	259.898684	26.847905	21.649	20.354	19.622	19.278	18.975	022.279	00.784	01.211	19.868	20.644
259.898740	26.575001	0.315845	0.000142132	Keck/DEIMOS	259.898721	26.575143	24.803	22.573	21.511	21.452	20.875	023.739	01.110	00.990	21.766	22.173
259.898800	26.712502	0.375383	0.000284097	Keck/DEIMOS	259.898769	26.712599	24.917	22.468	21.445	20.972	20.905	023.401	01.071	00.833	21.803	22.160
259.898987	26.595102	0.31549	6.11424e-05	MMT/Hectospec	259.898979	26.595104	21.726	20.606	19.354	18.883	18.474	022.541	01.300	01.581	19.551	20.556
259.900417	26.771683	0.256205	9.09297e-05	MMT/Hectospec	259.900408	26.771682	22.653	21.291	20.151	19.681	19.378	022.409	01.189	00.998	20.418	21.013
259.900987	26.600614	0.316221	8.19235e-05	MMT/Hectospec	259.900999	26.600613	25.382	22.200	20.766	20.338	20.172	022.816	01.483	00.929	20.981	21.463
